numeroFrases;emocion;frase;idAudio
170;Neutral;Muchas gracias;4
171;Neutral;No, no, señor;4
172;Feliz;Con todo el gusto y le deseo una feliz tarde;4
173;Feliz;Que esté muy bien;4
174;Neutral;Igualmente;4
175;Neutral;Hasta luego;4
176;Neutral;Vamos al servicio Claro;5
177;Neutral;Mi nombre es Néstor Ricaurte;5
178;Neutral;¿En qué le puedo colaborar? Hola, buenas tardes, Néstor;5
179;Neutral;Sí, Néstor, lo que pasa es que estoy interesado en cambiarme, o sea, seguir con ustedes, pero cambiarme de plan;5
180;Neutral;¿Me puedes ayudar, por favor? Claro, sí, señor;5
181;Neutral;¿Con quién tengo el gusto? Hablas con Nicolás;5
182;Feliz;Nicolás, mucho gusto;5
183;Neutral;Señor Néstor, ¿usted es el titular de la línea? Sí, Néstor, yo soy el titular;5
184;Neutral;Bueno, permítame, por favor, su número de documento;5
185;Neutral;Sí, claro, es 1019;5
186;Neutral;Sí;5
187;Neutral;120;5
188;Neutral;120;5
189;Neutral;Ok;5
190;Neutral;Permítame un momento, por favor, señor Nicolás;5
191;Neutral;Vale;5
192;Neutral;Sí;5
193;Feliz;Vale, señor Nicolás;5
194;Neutral;Veo que tiene un plan de;5
195;Neutral;Sí, señor;5
196;Neutral;Sí, señor, ese es el que tengo actualmente;5
197;Neutral;¿Y usted tiene pensado aumentar más la capacidad o reducirla? Perdón, no lo escuché muy bien;5
198;Neutral;Aumentarla, por favor;5
199;Enojado;Lo que pasa es que actualmente necesito más datos por temas de;5
200;Enojado;de más internet por temas laborales;5
201;Neutral;Vale;5
202;Neutral;Bueno, pero aquí yo estoy viendo, señor Nicolás, que estaba pagando;5
203;Neutral;Permítame;5
204;Neutral;¿33 mil pesos? ¿Me confirma? Sí, señor;5
205;Neutral;Sí, señor;5
206;Neutral;Sí, señor;5
207;Neutral;Sí, señor;5
208;Neutral;Sí, señor;5
209;Neutral;Sí, señor;5
210;Neutral;Sí, señor;5
211;Feliz;Ok, listo, perfecto;5
212;Neutral;Bueno, en este mes justamente del mes de julio se está realizando un;5
213;Neutral;Se diseñó un nuevo plan y pues está en este momento por 70 gigas por un valor de 50 mil pesos;5
214;Feliz;Este plan por lo general estaba por un valor de 110 mil, pero pues como ha tenido un buen auge, buena acogida de este plan, pues por esa razón decidimos que pues obviamente todos los que son nuestros usuarios tengan la oportunidad de adquirir este servicio;5
215;Neutral;Ese sería como el más adaptable para usted;5
216;Feliz;Perfecto, Nelson;5
217;Neutral;Sí, entonces, porfa, para realizar el cambio ahora mismo;5
218;Feliz;Vale, listo;5
219;Neutral;Entonces, necesitaría que por favor me permitiera un lapso de 5 a 8 minutos;5
220;Neutral;Agradecería muchísimo su paciencia para que podamos realizar este proceso;5
221;Neutral;De igual forma, tenga presente de que una vez que iniciemos este proceso va a llegar un código como mensaje de texto a su teléfono para que me lo pueda brindar y así proceder con el traslado;5
222;Neutral;El plan vale;5
223;Feliz;Alisa, perfecto;5
224;Neutral;Entonces, queda atento cuando me envíen el código;5
225;Neutral;Claro, regáleme un momento una línea, por favor;5
226;Neutral;Señor Camilo;5
227;Neutral;Sí, señor;5
228;Neutral;Acabo de enviarle un mensaje de texto;5
229;Neutral;Por favor, bríndeme el código que son de seis dígitos;5
230;Neutral;Ok, sí, acá está;5
231;Neutral;Entonces, llegó el 86;5
232;Neutral;Sí;5
233;Neutral;17, 0, 0;5
234;Neutral;Vale;5
235;Feliz;Perfecto, listo;5
236;Neutral;Deme otro momento una línea, por favor;5
237;Neutral;Vale;5
238;Neutral;Gracias;5
239;Neutral;Y por su espera, ya se realizó el traslado;5
240;Neutral;Entonces, en el próximo 24 horas se estarán realizando los cambios pertinentes para que usted adquiera este mismo plan;5
241;Neutral;Tenga presente que su corte son los días 15;5
242;Neutral;Es decir, que una vez que genere el corte tiene cinco días donde nosotros haremos vía web, le haremos llegar la facturación, usted pueda proceder al pago y seguir utilizando esos magníficos servicios;5
243;Neutral;Adicionalmente, este plan tiene una durabilidad de un año;5
244;Neutral;Es decir, que;5
245;Neutral;la cláusula de permanencia es de 12 meses, ¿de acuerdo? Perfecto, Néstor;5
246;Feliz;Usted es muy amable, muchas gracias;5
247;Feliz;No, no, señor Nicolás, que esté muy bien;5
248;Feliz;Deseamos una feliz tarde;5
249;Neutral;¿Necesita que le pueda colaborar en algo? No, eso sería todo;5
250;Feliz;Muchas gracias, en serio;5
251;Neutral;Bueno, a continuación voy a dejarle un servicio de encuesta para que, por favor, pueda responder;5
252;Feliz;Agradeceríamos muchísimo la calificación de mi servicio hacia usted;5
253;Neutral;Bueno, hasta luego;5
254;Neutral;Aló, muy buenas tardes;6
255;Feliz;Sí, buenas tardes;6
256;Feliz;Don Cristian, buenas tardes;6
257;Neutral;Me comunico de parte del área preferencial de Claro, como es el día de hoy;6
258;Feliz;Bien, muchas gracias;6
259;Feliz;¿Y usted cómo está? Muy bien, muchas gracias, don Cristian;6
260;Feliz;El motivo de mi llamada es para notificarle que debido a sus excelentes pagos oportunos con nosotros, la familia Claro tiene un plan para usted de promoción por el mes de julio para que adquiera con nosotros los servicios hogares, ya que podemos ver que ya cuenta con la telefonía móvil;6
261;Neutral;No sé si está interesado;6
262;Enojado;No, no, la verdad no me interesa y ahorita me encuentro muy ocupado y no puedo atender su llamada;6
263;Neutral;Don Cristian, pero digamos, ¿cuál es la razón por la cual no le interesa actualmente? Pues primero porque estoy ocupado, mi hermano, pero la segunda es porque estoy contento con el otro operador en el cual estoy actualmente;6
264;Neutral;O pues, ¿qué servicios tienen ahorita? Sí, exacto, don Cristian;6
265;Neutral;Bueno, pues actualmente nosotros contamos con un internet de banda ancha, parabólica y telefonía ilimitada por si gusta;6
266;Neutral;¿Usted me puede confirmar, por favor, actualmente cuánto está pagando en el otro plan? Ciento trece mil seiscientos, más o menos;6
267;Neutral;Ok, don Cristian;6
268;Neutral;Pues digamos que al ser parte de allá, al ser cliente de nosotros, nosotros tenemos una promoción que los primeros seis meses usted va a pagar por internet de banda ancha, de doscientas cincuenta gigas, parabólica que incluye más de ciento treinta canales, y telefonía fija si desea incluirla, por un total de setenta y cinco mil pesos;6
269;Neutral;Los primeros seis meses;6
270;Neutral;¿Usted sabe qué telefonía ya no se usa en esta generación? Sí, claro, entonces si usted gusta, pues podemos modificar el plan utilizando solo la parabólica y el internet, y eso tendría un precio de sesenta y dos mil pesos, que incluyen por las doscientas cincuenta gigas, y los más de ciento veinte canales incluidos en su plan de parabólica;6
271;Neutral;¿Cuántas megas fue que me dijo? Doscientas cincuenta, don Cristian;6
272;Neutral;Ok;6
273;Neutral;¿De subida y bajada o solo de bajada? De subida y bajada, don Cristian;6
274;Neutral;Ok;6
275;Neutral;¿Y eso es coaxial, eso es fibra? ¿Qué es eso? Eso es fibra óptica;6
276;Neutral;¿Y será que sí? ¿Por la zona donde yo estoy viviendo? Porque yo vivo bien abajo de Soacha;6
277;Neutral;Más abajo de;6
278;Feliz;Don Cristian, pues, don Cristian, digamos que nosotros ya, justamente haciendo las validaciones de los sectores en los que se encuentran nuestros clientes, vimos cómo óptimo su residencia, ya que actualmente, pues usted sabe que, claro, está en todo el montaje de mejorar su infraestructura, y actualmente la dirección que nosotros acá tenemos reportada, usted sí aplica para este cambio;6
279;Neutral;¿Cuál dirección tiene? Disculpe;6
280;Neutral;Don Cristian, tenemos, bueno, primero que todo, le confirmo, por favor, si su número de cédula termina en 5280;6
281;Neutral;Sí, sí, sí;6
282;Feliz;Ok, perfecto, don Cristian;6
283;Neutral;Ya haciendo esa validación de identidad, le confirmo que la dirección que nosotros tenemos es la carrera 2, número 5058, apartamento 401;6
284;Neutral;Sí, sí, sí;6
285;Neutral;Camilo, ¿es que usted me dijo qué se llamaba? Sí, señor;6
286;Enojado;Venga, hermano, yo estoy ahorita muy ocupado;6
287;Neutral;Hagamos esto;6
288;Neutral;Si me convenció, bueno, entonces, llámeme dentro de una media hora o una hora, por favor, y yo te lo diré;6
289;Neutral;Ok, perfecto;6
290;Neutral;Ok, perfecto;6
291;Neutral;Ok, perfecto;6
292;Neutral;Ok, perfecto;6
293;Neutral;Ahorita me he dado una hora, por favor, porque ahorita estoy en una llamada y justo contesté la suya;6
294;Neutral;Ok, don Cristian, no hay problema;6
295;Neutral;Vale;6
296;Feliz;Y seguimos, seguimos, hacemos, hacemos ese cambio;6
297;Feliz;Listo, don Cristian;6
298;Neutral;Me dice que en media hora está ya disponible;6
299;Neutral;Sí, unos cuarenta minutos, más o menos;6
300;Feliz;Listo, perfecto;6
301;Feliz;Don Cristian, entonces…;6
302;Neutral;Aló, muy buenas tardes Aló, buenas tardes Aló, muy buenas tardes Habla con Camilo, con quien tengo el gusto de hablar Con Otoniel de la Rosa Don Otoniel, muy buenas tardes En que le pueda ayudar el día de hoy Gracias, disculpe, estoy llamando a Claro, ¿cierto? Sí, señor Señor, haga un favor, es que estoy interesado En adquirir algún servicio de internet Ocar con ustedes, ¿usted me puede dar información? Claro, don Otoniel, claro que sí Primero que todo, ¿usted me puede confirmar Desde qué ciudad se comunica? Claro, de Pitalito, Huila Ok, don Otoniel, perfecto Don Otoniel, ¿tiene algún interés en especial En el plan hogar o le puedo ofrecer Varios paquetes que tenemos Y usted ya mira cuál está adecuado más A su solicitud Pues acá un vecino me dijo que tenía un servicio Como de 70 megas, 100 megas, algo así No me acuerdo si era ilimitado Pero la cosa es que tenía internet Y tenía telefonía y pagaba como 70 mil pesos Yo no sé si aquí todavía existe ese servicio Ok, don Otoniel, para verificar Primero la disponibilidad de nuestros paquetes ¿Usted me puede confirmar, por favor La dirección de su residencia? Sí, claro, calle 53 Sur Número 205 Ok, ¿es casa o apartamento, don Otoniel? Eso es casa Esa es una casa, pero es en el primer piso Ok, don Otoniel Ok, digamos que mirando acá La, la dirección que usted me Que usted me facilitó Efectivamente nosotros actualmente sí tenemos disponibilidad En ese sector Digamos que por ser el mes de Que a todos nos paga prima y todo La familia, claro, tiene un paquete especial Para usted que cuenta con Más de 120 Megas de internet ilimitados O sea, usted no va a tener ningún inconveniente Esto es a base De fibra óptica También incluyendo la telefonía que nos nombra También para yo ¿Qué saben de fibra? La fibra óptica es la nueva modalidad En la que el internet se está incorporando Para que, digamos, sea mayor La velocidad Y no se afecte, digamos, al momento Que usted sabe que a veces nosotros recibimos visitas Y la mayoría de quejas es siempre Que cuando se conecta una cantidad de personas El internet empieza o a caer O a poner más lento Entonces la fibra óptica A usted le va a facilitar a que si usted Vive con su familia, con sus hijos O llega a un visita, su internet no se verá afectado Y seguirá con la misma velocidad Que yo le estoy ofreciendo Pues acá vivimos ocho personas Los ocho vivimos, tenemos teléfono Y aquí hay un computador en la casa ¿Será que con eso sirve o no sirve? Efectivamente, don Antonio Usted no va a ver afectación al momento De que las ocho personas se encuentran en la casa Al mismo tiempo Entonces, bueno, lo que le comentaba Entonces el plan incluye más de 120 gigas ilimitadas Incluye telefonía ilimitada Para llamadas nacionales e internacionales Y también No me trapeo los pies No me trapeo los pies También por el tema de Tranquilo, don Antonio También por el tema de como es prima También este plan por 55 mil pesos Usted se lleva esto más Parabólica con más de 90 canales en HD Entonces, don Antonio No sé si usted está interesado Para proceder con la inscripción a este plan Pues, pues le soy sincero A mí no me sirve mucho el internet Pero lo hago es por la hija Que la hija va a entrar ahorita a la universidad Entonces sí, metámoslo ¿Qué necesita? ¿Qué se necesita? Perfecto, don Antonio Por favor, ¿me confirma su número de cédula? Claro, 43 43 729 729, perfecto ¿De qué ciudad, don Antonio? De Palmira, vaya De Palmira, perfecto, don Antonio Listo, don Antonio Le confirmo ¿Tiene algún correo electrónico asociado para el suyo? No, yo no uso esas cosas Pero le pregunto a mi hija Mamita, ¿usted tiene algún correo electrónico? ¿Qué aquí me están pidiendo? ¿Qué? ¿Qué? ¿Azul? Sí, azul 1984 1984 Que arroba gmail;7
303;Neutral;com Arroba gmail;7
304;Neutral;com Ok, don Antonio, perfecto Ya con esos datos lo que procederemos Es en este mismo correo Le llegará la factura Por favor, me confirma Si el día lunes 8 de julio Usted está disponible para que llegue Nuestros técnicos a instalarle el servicio Y me confirma si en el horario de mañana o de tarde Aquí estamos todo el día metidos Entonces pueden venir a la hora que quieran Ok, ok, don Antonio Yo dejo esto en los comentarios Entonces listo, don Antonio, eso sería todo A partir ya, digamos, le explico que los cortes Callen en cuenta que estamos a principio de mes Sus cortes serían para el 10 de julio Para el 10 de cada mes, perdón Y tiene un plazo de 5 días Después de generar la factura Para realizar el pago Le recuerdo que el pago es por 55 mil pesos Perfecto Bueno, listo, listo, listo, mano Listo, don Antonio ¿Algo más en lo que le pueda ayudar? No, muchas gracias, mano Don Antonio, una excelente tarde Bienvenido a la familia, claro;7
305;Neutral;Buenas tardes, mi nombre es Alejandro Gutiérrez, ¿en qué le puedo colaborar? Hola Alejandro, buenas tardes;8
306;Enojado;Alejandro, para cancelar el plan, por favor, que tengo justamente con ustedes;8
307;Neutral;¿Con quién hablo? Camilo;8
308;Neutral;Camilo, hágame un favor, ¿me puede dar su número de documento para verificar en el sistema? Sí, claro, es 10-10-58-60;8
309;Neutral;Bueno, permítame un momento;8
310;Neutral;¿Me lo repito otra vez? Ok, 10-10-10-60;8
311;Enojado;Permita que no me está funcionando el sistema, dame un momento, por favor, en la línea;8
312;Neutral;Perdón, repítamelo otra vez;8
313;Enojado;Qué pena, ¿pero otra vez? Señor, así es el servicio, le tenemos un inconveniente con el sistema, pues tenga paciencia;8
314;Neutral;Vale, no hay lío;8
315;Neutral;10-10-10;8
316;Neutral;Ok;8
317;Neutral;10-10-10-60;8
318;Neutral;Bueno, dame un momento, por favor;8
319;Neutral;Señor Camilo, no, en el sistema no me aparece con su número de documento, ¿me lo repite, por favor? No, pero ese es el mío;8
320;Neutral;Bueno, ok, 10-10-10-60;8
321;Enojado;No, no aparece en el sistema, señor Camilo;8
322;Neutral;¿Usted está seguro que usted es el titular? Sí, yo soy el titular;8
323;Neutral;10-10, se lo repito, 10-10-40-60;8
324;Neutral;No, es 10-10-10-60;8
325;Neutral;10-10-70;8
326;Neutral;No, 60;8
327;Enojado;Ay, puta vida;8
328;Neutral;10-10-60;8
329;Neutral;¿Qué pasa? Sí, señor;8
330;Neutral;No, no, señor Camilo, usted no aparece en el sistema;8
331;Enojado;Le pediría, por favor, que se acercara mejor a los centros de servicio con su documento, porque aquí no me aparece con ese número que usted me está indicando;8
332;Feliz;Ok, vale, muchas gracias, entonces;8
333;Neutral;Buenas tardes, mucho gusto, mi nombre es Camilo de parte de la empresa Claro, ¿con quién tengo el gusto de hablar? Con Sonia Olaya;9
334;Neutral;Buenas tardes doña Sonia, doña Sonia, el día de hoy me comunico con usted para informarle que tenemos una promoción para un plan móvil, no sé si está interesada en adquirirla con nosotros;9
335;Neutral;Sí, explícame todo el proceso, ¿qué trata? Sí, claro, mira, como estamos en promoción por el mes de julio de prima, tenemos una promoción que es un plan de 70 gigas, ilimitado WhatsApp, Facebook, Instagram y YouTube Premium, minutos ilimitados y mensajes ilimitados, ya sean nacionales e internacionales, y todo esto por un plan de 75 mil pesos, si lo toma el día de hoy, no sé si estás interesada;9
336;Neutral;Y, o sea, yo me puedo meter a todo, a todo ilimitado, o sea, no me cobran de más si me meto a Iceman;9
337;Neutral;No, no, exacto;9
338;Enojado;El plan tiene ese costo de 52 mil pesos y WhatsApp, Facebook, Instagram y YouTube Premium no consumen los datos que están adquiridos en el plan;9
339;Neutral;Ya al momento de navegar en otras páginas, en otras redes sociales como Twitter, Snapchat o X, esas sí gastan planes de datos, pero digamos que las mencionadas no te disminuyen el plan;9
340;Neutral;Sí, sí me interesa porque estoy pensando en cambiar de operador;9
341;Feliz;Ah, perfecto;9
342;Neutral;Vale;9
343;Neutral;Doña Sonia, por favor, ¿me puedes facilitar tu número de cédula? 52-186-289;9
344;Neutral;Ok, perfecto;9
345;Neutral;¿Tienes algún correo electrónico? Sí, sonia;9
346;Neutral;olaya;9
347;Neutral;gmail;9
348;Neutral;com;9
349;Neutral;Ok, perfecto;9
350;Neutral;Entonces, a este correo te llegará la factura de vía electrónica y te recuerdo que entonces a partir del 8 de julio, ya que estamos el día sábado, empieza a correr este nuevo plan;9
351;Neutral;Te recuerdo que lo vas a ver en el próximo video;9
352;Neutral;Te recuerdo que las fechas de corte son todos los 8 de cada mes y tienes 5 días hábiles después del corte para realizar los pagos, ¿vale? Listo, sí;9
